case_number,primary_type,description,location_description,arrest,year
JJ449061,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447004,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447079,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,2025
JJ447132,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2025
JJ446923,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,2025
JJ446833,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESTAURANT,True,2025
JJ450990,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ446807,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ449687,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,2025
JJ446888,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,RESIDENCE,False,2025
JJ446805,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,False,2025
JJ447837,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ446803,ASSAULT,SIMPLE,STREET,False,2025
JJ446809,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GAS STATION,True,2025
JJ447594,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,2025
JJ447666,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ446799,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ447599,THEFT,FROM BUILDING,LIBRARY,False,2025
JJ446797,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,2025
JJ446814,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,2025
JJ446792,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA PLATFORM,True,2025
JJ448790,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,2025
JJ446819,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,2025
JJ446790,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,2025
JJ446795,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,2025
JJ446801,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ448255,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",STREET,False,2025
JJ446861,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,False,2025
JJ447634,THEFT,$500 AND UNDER,RESTAURANT,False,2025
JJ446891,THEFT,OVER $500,STREET,False,2025
JJ452806,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ446761,BURGLARY,BURGLARY FROM MOTOR VEHICLE,ALLEY,False,2025
JJ449029,ASSAULT,SIMPLE,SIDEWALK,False,2025
JJ452559,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,2025
JJ446774,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,2025
JJ446782,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,2025
JJ446770,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ446777,ROBBERY,VEHICULAR HIJACKING,GAS STATION,False,2025
JJ446822,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ446843,ASSAULT,SIMPLE,SIDEWALK,False,2025
JJ446743,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ446798,NARCOTICS,POSSESS - HEROIN (WHITE),VEHICLE NON-COMMERCIAL,True,2025
JJ446873,THEFT,OVER $500,STREET,False,2025
JJ446726,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,2025
JJ449063,THEFT,THEFT FROM MOTOR VEHICLE,SCHOOL - PUBLIC GROUNDS,False,2025
JJ446763,ASSAULT,SIMPLE,STREET,False,2025
JJ448800,THEFT,FROM BUILDING,ALLEY,False,2025
JJ446693,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ446698,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ446692,THEFT,OVER $500,SIDEWALK,False,2025
JJ446713,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ446699,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,2025
JJ449699,THEFT,OVER $500,RESIDENCE,False,2025
JJ450011,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2025
JJ446889,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,2025
